barangay,ndeath01_prop,nmaln05_prop,ndeath05_prop,nsquat_prop,nmsh_prop,nntsws_prop,nntstf_prop,nntkinder5_prop,nntelem611_prop,nnths1215_prop,nntelem612_prop,nnths1316_prop,nnths1617_prop,ntert1721_prop,nntliter10ab_prop,npovp_prop,nsubp_prop,nfshort_prop,nunempl15ab_prop,nvictcr_prop,age_dep_prop,dep_prop
Dalampang,0.0,0.5494505494505495,0.0,2.2988505747126435,0.0,0.1724137931034483,0.0,27.77777777777778,4.761904761904762,16.19718309859155,10.276679841897234,23.178807947019866,37.28813559322034,24.65753424657534,1.1988716502115657,29.770114942528735,13.275862068965516,0.0,6.839186691312385,0.0,36.0919540229885,71.03448275862068
Dicarma (Pob.),0.0,1.1428571428571428,0.2857142857142857,13.506891271056661,1.776416539050536,0.0,0.0,21.875,8.551068883610451,20.647773279352226,15.126050420168067,27.27272727272727,54.13533834586466,25.57471264367816,4.865070315469403,22.787136294027565,11.791730474732006,1.439509954058193,3.051643192488263,0.4287901990811639,32.955589586523736,62.052067381317
Dimasalang (Pob.),0.0,3.3333333333333335,0.0,1.4084507042253522,0.43336944745395445,0.0,0.0,33.33333333333333,16.666666666666664,18.333333333333332,25.806451612903224,25.0,44.0,35.1063829787234,2.7027027027027026,20.36836403033586,10.725893824485373,0.0,3.40632603406326,0.0,30.76923076923077,56.988082340195014
Dionisio S. Garcia,1.0,1.9607843137254901,1.2477718360071302,8.11832740213523,11.877224199288257,0.9119217081850534,1.5791814946619218,38.46153846153847,10.695187165775401,25.96685082872928,17.628705148205928,30.08356545961003,56.315789473684205,19.911504424778762,3.022670025188917,36.89946619217082,21.085409252669038,6.583629893238434,4.746835443037975,0.42259786476868333,35.787366548042705,66.52580071174377
Fatima (Pob.),0.0,0.0,0.0,5.911330049261084,0.0,0.0,0.0,16.666666666666664,7.6923076923076925,25.0,13.698630136986301,34.090909090909086,25.0,37.254901960784316,1.9083969465648856,36.61740558292282,28.57142857142857,0.0,2.3474178403755865,0.0,33.16912972085386,65.84564860426929
General Luna (Pob.),0.0,1.9607843137254901,0.0,5.791855203619909,1.085972850678733,0.0,0.8144796380090499,17.391304347826086,9.090909090909092,18.6046511627907,21.323529411764707,28.735632183908045,51.06382978723404,50.37037037037037,1.812366737739872,28.054298642533936,17.55656108597285,3.7104072398190047,4.288939051918736,0.36199095022624433,32.85067873303167,61.6289592760181
Hermogenes C. Concepcion; Sr.,0.0,0.546448087431694,0.0,23.182511438739198,3.101169293340112,0.0,0.0,34.78260869565217,9.743589743589745,23.076923076923077,15.454545454545453,28.104575163398692,40.98360655737705,31.132075471698112,0.6654567453115547,15.302491103202847,8.083375699034063,0.0,6.382978723404255,0.0,29.334011184544995,57.49872902897813
Ibabao Bana,2.7777777777777777,1.2244897959183674,0.40816326530612246,11.402231926249394,0.8248423095584668,0.0,0.1455604075691412,31.428571428571427,10.505836575875486,19.27710843373494,18.892508143322477,20.12987012987013,42.857142857142854,14.736842105263156,2.487864077669903,47.937894226103836,33.52741387675886,1.21300339640951,4.027777777777778,0.048520135856380396,36.24454148471616,66.47258612324114
Imelda District,0.0,4.261363636363636,0.0,1.402524544179523,0.7713884992987377,0.07012622720897616,0.07012622720897616,23.809523809523807,8.378378378378379,23.275862068965516,15.668202764976957,21.658986175115206,52.083333333333336,22.83464566929134,1.729490022172949,29.66339410939691,12.201963534361852,1.5778401122019634,3.905447070914697,0.07012622720897616,37.166900420757365,67.21598877980365
Isla (Pob.),0.0,0.0,0.0,0.5504587155963303,0.3058103975535168,0.0,0.42813455657492355,34.146341463414636,11.707317073170733,44.73684210526316,14.644351464435147,41.17647058823529,52.112676056338024,15.263157894736842,1.8808777429467085,30.21406727828746,14.128440366972479,0.0,2.6984126984126986,0.12232415902140673,34.31192660550459,62.50764525993884
Kalikid Norte,0.0,6.049822064056939,0.0,8.576051779935275,0.0,0.0,7.96925566343042,9.836065573770492,6.609195402298851,13.48314606741573,13.846153846153847,21.98952879581152,46.464646464646464,26.146788990825687,3.048780487804878,31.715210355987054,18.527508090614887,0.28317152103559873,4.624277456647398,0.12135922330097086,38.30906148867314,66.62621359223301
Kalikid Sur,0.0,6.690140845070422,0.17605633802816903,10.260145681581685,0.437044745057232,0.0,9.032258064516128,27.27272727272727,7.920792079207921,16.49746192893401,14.782608695652174,18.863049095607234,45.348837209302324,25.31645569620253,2.169367485624673,27.929240374609783,15.50468262226847,0.0,3.7679425837320575,0.0,35.90010405827263,66.51404786680541
Kapitan Pepe (Pob.),0.0,0.0,0.0,0.6989748369058714,0.27958993476234856,0.09319664492078285,0.0,20.0,13.636363636363635,16.964285714285715,23.52941176470588,22.321428571428573,41.42857142857143,30.21978021978022,0.6389776357827476,20.596458527493013,12.162162162162163,0.0,2.810304449648712,0.0,31.407269338303824,61.323392357875115
Lagare,2.7777777777777777,1.3824884792626728,0.4608294930875576,0.8064516129032258,1.881720430107527,8.494623655913978,0.0,20.0,7.860262008733625,16.551724137931036,17.77777777777778,25.954198473282442,50.0,23.684210526315788,1.2709030100334449,40.913978494623656,29.08602150537634,2.4193548387096775,2.1406727828746175,0.053763440860215055,35.752688172043015,65.59139784946237
Lourdes (Matungal-tungal),0.0,0.0,0.0,1.0859301227573182,3.068932955618508,0.4721435316336166,18.413597733711047,36.84210526315789,10.126582278481013,24.691358024691358,19.014084507042252,27.95031055900621,47.19101123595505,18.7192118226601,4.085155350978136,24.22096317280453,13.928234183191691,0.0,4.342105263157895,0.0,33.47497639282342,65.67516525023606
M. S. Garcia,1.0,8.630393996247655,0.5628517823639775,1.2933025404157044,0.8545034642032332,0.0,0.0,24.444444444444443,7.721280602636535,21.963824289405682,17.61006289308176,25.885558583106267,54.06976744186046,22.950819672131146,1.2727798669366504,29.95381062355658,13.764434180138569,3.25635103926097,5.692599620493358,0.023094688221709007,36.39722863741339,65.56581986143188
Mabini Extension,0.0,1.1673151750972763,0.0,3.7665324899367456,1.2938470385278895,0.0,0.0,11.363636363636363,12.714776632302405,16.574585635359114,20.474777448071215,29.081632653061224,30.337078651685395,52.63157894736842,2.4875621890547266,15.411155836687751,9.603220241518114,0.43128234617596317,2.0275162925416366,0.0,26.164462334675097,61.09833237492812
Mabini Homesite,0.0,0.0,0.0,1.0510510510510511,0.5255255255255256,0.11261261261261261,0.03753753753753754,24.242424242424242,9.881422924901186,17.934782608695652,18.151815181518153,21.787709497206702,41.66666666666667,38.297872340425535,0.39508340649692714,17.154654654654657,9.30930930930931,0.0,4.965243296921549,0.0,32.31981981981982,64.07657657657657
Macatbong,1.7857142857142856,1.7142857142857144,0.5714285714285714,3.505786249149081,4.628999319264806,0.0,0.5105513955071478,24.561403508771928,8.465608465608465,16.666666666666664,16.431924882629108,26.31578947368421,47.107438016528924,14.17910447761194,1.9255455712451863,44.281824370319946,27.5357385976855,2.6889040163376445,3.3165829145728645,0.06807351940095302,36.793737236215115,67.2566371681416
Magsaysay District,0.0,0.9523809523809524,0.31746031746031744,1.8570102135561743,11.20396162178892,0.03095017022593624,0.0,22.950819672131146,9.510869565217392,18.614718614718615,18.07511737089202,24.553571428571427,52.54237288135594,43.12169312169312,3.9179104477611943,32.157226864747756,24.605385329619313,0.5571030640668524,2.869198312236287,0.3404518724852987,32.281027545651504,64.37635406994738
Magsaysay South,0.0,2.4193548387096775,0.0,1.9714144898965007,0.9857072449482503,0.0,0.0,22.22222222222222,12.76595744680851,23.47826086956522,19.298245614035086,29.6875,34.065934065934066,61.979166666666664,3.2061912658927585,15.968457368161657,11.582060128141942,1.1828486939379004,2.1963824289405682,0.0,24.642681123706257,62.69098077870873
Maria Theresa,0.0,0.0,0.0,0.8665511265164645,1.2131715771230502,0.0,0.0,0.0,6.122448979591836,26.923076923076923,14.035087719298245,39.39393939393939,40.74074074074074,38.46153846153847,2.7944111776447107,9.01213171577123,6.5857885615251295,0.0,2.5316455696202533,0.0,28.769497400346623,59.96533795493934
Matadero (Pob.),7.6923076923076925,1.36986301369863,1.36986301369863,10.751295336787564,0.38860103626943004,0.0,0.7772020725388601,23.076923076923077,10.112359550561797,32.075471698113205,16.346153846153847,30.18867924528302,69.6969696969697,16.0,5.14018691588785,27.202072538860104,17.616580310880828,0.0,3.4129692832764507,0.2590673575129534,34.715025906735754,63.3419689119171
Mayapyap Norte,0.0,0.0,0.0,1.1742892459826948,0.865265760197775,0.061804697156983925,0.30902348578491967,19.230769230769234,13.368983957219251,16.037735849056602,16.666666666666664,20.0,46.875,28.57142857142857,1.0471204188481675,28.553770086526576,12.855377008652658,0.0,4.191616766467066,0.0,31.95302843016069,70.33374536464771
Mayapyap Sur,0.0,0.0,0.0,4.364236848313281,2.0759613116301012,0.0,0.1887237556027365,24.175824175824175,11.201629327902241,20.846905537459286,17.02898550724638,23.15112540192926,52.63157894736842,22.70408163265306,0.994733762434172,40.17456947393253,25.123849964614298,0.04718093890068412,2.203856749311295,0.02359046945034206,35.83392309506959,66.50153338051427
Melojavilla (Pob.),0.0,0.0,0.0,2.6455026455026456,0.0,0.0,0.0,0.0,4.166666666666666,26.666666666666668,13.333333333333334,25.0,41.66666666666667,27.27272727272727,5.654761904761905,27.24867724867725,19.31216931216931,0.0,4.395604395604396,0.0,23.015873015873016,53.96825396825397
Nabao (Pob.),0.0,0.0,0.0,0.7366482504604052,0.9208103130755065,0.0,0.0,0.0,12.280701754385964,44.44444444444444,15.714285714285714,37.93103448275862,38.46153846153847,23.52941176470588,1.7094017094017095,28.360957642725598,23.388581952117864,0.0,3.7209302325581395,0.0,31.123388581952117,61.87845303867403
Obrero,0.0,1.5337423312883436,0.0,1.023541453428864,0.511770726714432,2.6270897304674174,0.6823609689525759,38.983050847457626,10.731707317073171,15.865384615384615,16.192560175054705,17.475728155339805,42.04545454545455,22.900763358778626,1.3704496788008564,42.647560559536,25.99795291709314,1.0917775503241216,3.079884504331088,0.0341180484476288,35.619242579324464,65.64312521323781
Padre Burgos (Pob.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,11.76470588235294,10.714285714285714,30.0,15.384615384615385,36.0,3.524229074889868,16.28787878787879,14.015151515151514,0.0,2.5423728813559325,1.1363636363636365,28.78787878787879,56.439393939393945
Padre Crisostomo,1.4705882352941175,1.3363028953229399,0.4454342984409799,12.800846336947897,1.613329806929384,0.0,0.18513620735255223,30.76923076923077,10.023310023310025,21.641791044776117,16.33064516129032,25.842696629213485,43.35664335664335,25.0,4.543968617195162,18.460724676011637,8.384025390108436,0.18513620735255223,2.064693737095664,0.10579211848717271,33.747685797408096,62.364453848188305
