barangay,nmaln05-prop,ndeath05-prop,nsquat-prop,nmsh-prop,nntsws-prop,nntstf-prop,nntkinder5-prop,nntelem612-prop,nnths1316-prop,nnths1617-prop,ntert1721-prop,nntliter10ab-prop,npovp-prop,nfshort-prop,nunempl15ab-prop,nvictcr-prop,age_dep_ratio,dep_ratio
Dimasalang (Pob.),3.0927835051546393,0.0,1.2745098039215685,0.39215686274509803,0.0,0.0,30.0,25.773195876288657,27.11864406779661,43.333333333333336,35.57692307692308,2.4277456647398843,18.92156862745098,0.0,3.632478632478633,0.0,0.4206128133704735,1.2616407982261642
Dionisio S. Garcia,1.7356475300400533,1.4686248331108143,7.257927759877904,11.361709343734102,0.9835509581142954,1.661861963710361,42.7536231884058,18.376550169109358,32.30452674897119,56.557377049180324,20.798668885191347,3.248709122203098,44.17500423944378,6.08784127522469,5.335221907459868,0.4069866033576394,0.5650212314225053,1.9411471321695761
Fatima (Pob.),0.0,0.0,6.456043956043957,0.0,0.0,0.0,16.666666666666664,16.666666666666664,29.310344827586203,40.74074074074074,33.80281690140845,1.7543859649122806,38.73626373626374,0.0,3.4090909090909087,0.0,0.46774193548387094,1.8549019607843138
General Luna (Pob.),1.5384615384615385,0.0,7.330195023537324,1.4122394082044385,0.0,0.605245460659045,17.24137931034483,24.550898203592812,30.508474576271187,46.774193548387096,47.752808988764045,1.7996870109546166,31.540013449899124,3.093476798924008,5.314009661835748,0.3362474781439139,0.4521484375,1.5289115646258504
Hermogenes C. Concepcion; Sr.,0.5263157894736842,0.0,22.90961817303045,2.9482841952634122,0.0,0.0,28.57142857142857,15.086206896551724,26.875,42.42424242424242,30.08849557522124,0.632183908045977,16.91638472692122,0.0,6.236786469344609,0.0,0.41132332878581174,1.3325817361894026
Ibabao Bana,1.1450381679389312,0.38167938931297707,10.297984224364592,0.7449605609114811,0.0,0.13146362839614373,35.8974358974359,17.696629213483146,20.0,42.68292682926829,14.084507042253522,2.356164383561644,50.26292725679229,1.0955302366345312,4.428044280442804,0.04382120946538125,0.5673076923076923,1.936936936936937
Imelda District,3.488372093023256,0.0,2.404643449419569,0.6080707573244887,0.055279159756771695,0.055279159756771695,25.333333333333336,14.490161001788909,18.75,56.15384615384615,21.38728323699422,1.6783216783216783,34.32835820895522,1.2437810945273633,5.9143968871595325,0.11055831951354339,0.5662337662337662,1.9925558312655087
Isla (Pob.),0.0,0.0,0.49668874172185434,0.27593818984547464,0.0,0.3863134657836645,47.05882352941176,16.356877323420075,40.87591240875913,52.5,14.215686274509803,2.005730659025788,32.83664459161148,0.0,3.2857142857142856,0.11037527593818984,0.5421276595744681,1.6765140324963073
Kalikid Norte,8.77742946708464,0.0,8.47457627118644,0.0,0.0,7.944915254237288,11.267605633802818,14.15525114155251,21.17117117117117,50.0,23.106060606060606,2.9955947136563874,32.59180790960452,0.24717514124293788,5.539358600583091,0.1059322033898305,0.5990965556182948,1.9135802469135803
Kalikid Sur,6.4784053156146175,0.16611295681063123,9.948737421682171,0.39870894247199545,0.0,9.018416555914182,28.57142857142857,15.587846763540291,19.058823529411764,47.368421052631575,24.277456647398843,2.2290728005691247,28.251376495158535,0.0,4.217185028993147,0.0,0.544574780058651,1.8987341772151898
